,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Agriculture, forestry, and fishing, value added (% of GDP)",CO2 emissions (metric tons per capita),Current health expenditure (% of GDP),"Death rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",GDP growth (annual %),GDP per capita growth (annual %),Individuals using the Internet (% of population),"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)",People using at least basic drinking water services (% of population),Rural population (% of total population),Secure Internet servers (per 1 million people),Trade in services (% of GDP),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",cluster
Afghanistan,64.57335394,100.0,22.81066274,0.253727945,8.561906964,7.141,42.8390007,33.22499847,2.724543365,-0.665270518,13.5,20.40399933,59.00699997,57.27106807,47.9,56.16964508,76.052,43.44783505,13.87470394,79.72600174,0
Mauritania,0.371407384,82.41458893,16.28260111,0.746292957,3.239161521,7.751,51.27399826,21.14699936,4.274823271,1.266610002,20.80096366,16.30599976,33.08800125,90.06949804,51.5,63.27145115,52.507,4.203079737,17.88588809,52.50300121,0
Mali,7.278037859,85.6,36.75281628,0.176050093,3.945498168,11.001,62.5909996,51.20000076,7.101422348,4.038085712,13.0,56.38199997,63.64300156,130.1634495,62.0,71.49079161,63.201,7.670536831,18.32235571,80.98599815,0
Malawi,3.412202317,55.16200256,28.67364219,0.064607656,7.493751496,7.864,43.64899826,57.28499985,5.700000004,2.778269574,13.78216439,60.625,63.27000046,39.21521754,35.3,65.13719927,84.328,10.41297638,6.252924094,59.18899965,0
Liberia,5.224251725,43.61195374,37.2278448,0.280944282,9.227525443,8.485,43.27299881,54.76300049,0.701143912,-1.866818935,7.984479722,53.76900101,58.28900146,81.65948531,53.5,70.90736343,51.807,1.913986306,29.20433407,77.19799995,0
Lesotho,19.92038295,70.7,4.950678908,1.18977047,8.796618134,16.433,8.536000252,28.64999962,2.883968844,2.13287006,29.0,36.45700073,49.8730011,103.9397364,65.7,68.26103022,74.69,20.08212633,14.36039843,16.31000018,0
Zambia,4.697571589,77.2454834,8.226534986,0.292412222,3.460532427,7.565,48.8390007,42.31499863,4.69772915,1.480268739,27.8525791,53.25099945,54.43500137,72.78457238,40.4,57.56090789,60.149,42.3646148,9.190404977,78.13399887,0
Lao PDR,85.69092753,99.48561096,17.93049843,0.685930929,1.944575086,6.803,62.42200089,58.68999863,7.611963441,6.016330555,25.51043508,62.37099838,57.10100174,55.28959094,37.6,74.05544091,69.34,16.39571784,14.42914598,80.05400085,0
Kenya,29.00258597,83.97079468,26.44333406,0.309143145,5.81170097,6.161,54.43999863,40.44300079,5.357125644,2.694788349,17.82710021,41.88700104,45.30199814,78.77455056,30.6,56.33693125,76.031,36.5779793,13.62736655,51.30000019,0
India,83.36793211,99.70723724,17.14842354,1.723311783,3.246342018,7.212,42.38499832,20.99399948,7.410227605,6.186731983,34.45,9.87100029,42.95800018,76.40759943,29.9,89.4046165,68.724,123.1015668,11.6870933,74.26999855,0
